title,authors,year,openalex_id,doi,url,abstract_text,keywords,category
Gastrointestinal flora and gastrointestinal status in children with autism – comparisons to typical children and correlation with autism severity,"James B. Adams, Leah J Johansen, Linda D Powell, David Quig, Robert A. Rubin",2011,https://openalex.org/W1996441448,https://doi.org/10.1186/1471-230x-11-22,https://doi.org/10.1186/1471-230x-11-22,(no abstract found: try through the website),"Autism, Medicine, Internal medicine, Childhood Autism Rating Scale, Gastroenterology, Population, Autism spectrum disorder, Psychiatry, Environmental health","Neurological Functioning, Behavioral Experiments, Therapy & Intervention, Communication & Language, Social & Emotional Development"
"Identification, Evaluation, and Management of Children With Autism Spectrum Disorder","Susan Hyman, Susan E. Levy, Scott M. Myers, Dennis Z. Kuo, Susan Apkon, Lynn Davidson, Kathryn A. Ellerbeck, Jessica E.A. Foster, Garey Noritz, Mary O’Connor Leppert, Barbara S. Saunders, Christopher J. Stille, Larry Yin, Carol C. Weitzman, David O. Childers, Jack M. Levine, Ada Myriam Peralta-Carcelen, Jennifer Poon, Peter J. Smith, Nathan J. Blum, John I. Takayama, Rebecca Baum, Robert G. Voigt, Carolyn Bridgemohan",2019,https://openalex.org/W2995148308,https://doi.org/10.1542/peds.2019-3447,https://doi.org/10.1542/peds.2019-3447,"This Clinical Report was reaffirmed October 2025. Autism spectrum disorder (ASD) is a common neurodevelopmental disorder with reported prevalence in the United States of 1 in 59 children (approximately 1.7%). Core deficits are identified in 2 domains: social communication/interaction and restrictive, repetitive patterns of behavior. Children and youth with ASD have service needs in behavioral, educational, health, leisure, family support, and other areas. Standardized screening for ASD at 18 and 24 months of age with ongoing developmental surveillance continues to be recommended in primary care (although it may be performed in other settings), because ASD is common, can be diagnosed as young as 18 months of age, and has evidenced-based interventions that may improve function. More accurate and culturally sensitive screening approaches are needed. Primary care providers should be familiar with the diagnosticcriteria for ASD, appropriate etiologic evaluation, and co-occurring medical and behavioral conditions (such as disorders of sleep and feeding, gastrointestinal tract symptoms, obesity, seizures, attention-deficit/hyperactivity disorder, anxiety, and wandering) that affect the child’s function and quality of life. There is an increasing evidence base to support behavioral and other interventions to address specific skills and symptoms. Shared decision making calls for collaboration with families in evaluation and choice of interventions. This single clinical report updates the 2007 American Academy of Pediatrics clinical reports on the evaluation and treatment of ASD in one publication with an online table of contents and section view available through the American Academy of Pediatrics Gateway to help the reader identify topic areas within the report.","autism, neurodevelopmental, pediatrics, disorders, asd",Behavioral Experiments
Management of Children With Autism Spectrum Disorders,"Scott M. Myers, Chris Plauché Johnson",2007,https://openalex.org/W2113420497,https://doi.org/10.1542/peds.2007-2362,https://doi.org/10.1542/peds.2007-2362,"Pediatricians have an important role not only in early recognition and evaluation of autism spectrum disorders but also in chronic management of these disorders. The primary goals of treatment are to maximize the child's ultimate functional independence and quality of life by minimizing the core autism spectrum disorder features, facilitating development and learning, promoting socialization, reducing maladaptive behaviors, and educating and supporting families. To assist pediatricians in educating families and guiding them toward empirically supported interventions for their children, this report reviews the educational strategies and associated therapies that are the primary treatments for children with autism spectrum disorders. Optimization of health care is likely to have a positive effect on habilitative progress, functional outcome, and quality of life; therefore, important issues, such as management of associated medical problems, pharmacologic and nonpharmacologic intervention for challenging behaviors or coexisting mental health conditions, and use of complementary and alternative medical treatments, are also addressed.","autism, pediatricians, therapies, treatments, interventions","Behavioral Experiments, Therapy & Intervention, Education & Learning"
Comorbid Psychiatric Disorders in Children with Autism: Interview Development and Rates of Disorders,"Ovsanna Leyfer, Susan E. Folstein, Susan Bacalman, Naomi Davis, Elena Dinh, Jubel Morgan, Helen Tager‐Flusberg, Janet E. Lainhart",2006,https://openalex.org/W2007382757,https://doi.org/10.1007/s10803-006-0123-0,https://doi.org/10.1007/s10803-006-0123-0,(no abstract found: try through the website),"Autism, Schedule for Affective Disorders and Schizophrenia, Psychiatry, Comorbidity, Psychology, Clinical psychology, Autism spectrum disorder, Schizophrenia (object-oriented programming), Autism Diagnostic Observation Schedule, Pervasive developmental disorder, Anxiety",Neurological Functioning
"Prevalence and Characteristics of Autism Spectrum Disorder Among Children Aged 8 Years — Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2020","Matthew J. Maenner, Zachary Warren, Ashley Robinson Williams, Esther Amoakohene, Amanda V. Bakian, Deborah A. Bilder, Maureen S. Durkin, Robert T. Fitzgerald, Sarah M. Furnier, Michelle M. Hughes, Christine M. Ladd-Acosta, Dedria McArthur, Elise T. Pas, Angelica Salinas, Alison Vehorn, Susan P. Williams, Amy Esler, Andrea Grzybowski, Jennifer Hall‐Lande, Ruby H.N. Nguyen, Karen Pierce, Walter Zahorodny, Allison Hudson, Libby Hallas, Kristen Clancy Mancilla, Mary Patrick, Josephine Shenouda, Kate Sidwell, Monica DiRienzo, Johanna Gutierrez, Margaret H. Spivey, Maya Lopez, Sydney Pettygrove, Yvette D. Schwenk, Anita Washington, Kelly Shaw",2023,https://openalex.org/W4360600181,https://doi.org/10.15585/mmwr.ss7202a1,https://doi.org/10.15585/mmwr.ss7202a1,"The continued increase among children identified with ASD, particularly among non-White children and girls, highlights the need for enhanced infrastructure to provide equitable diagnostic, treatment, and support services for all children with ASD. Similar to previous reporting periods, findings varied considerably across network sites, indicating the need for additional research to understand the nature of such differences and potentially apply successful identification strategies across states.","asd, children, findings, diagnostic, identified",General / Other
Understanding emotions in others: mirror neuron dysfunction in children with autism spectrum disorders,"Mirella Dapretto, Mari S. Davies, Jennifer H. Pfeifer, Ashley Scott, Marian Sigman, Susan Y. Bookheimer, Marco Iacoboni",2005,https://openalex.org/W2031371003,https://doi.org/10.1038/nn1611,https://doi.org/10.1038/nn1611,(no abstract found: try through the website),"Mirror neuron, Autism, Psychology, Neuroscience, Dysfunctional family, Autism spectrum disorder, Neuron, Typically developing, Developmental psychology, Audiology, Clinical psychology, Medicine",General / Other
"Prevalence and Characteristics of Autism Spectrum Disorder Among Children Aged 8 Years — Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2012","Deborah Christensen, Jon Baio, Kim Van Naarden Braun, Deborah A. Bilder, Jane M. Charles, John N. Constantino, Julie L. Daniels, Maureen S. Durkin, Robert T. Fitzgerald, Margaret Kurzius‐Spencer, Li-Ching Lee, Sydney Pettygrove, Cordelia Robinson, Eldon G. Schulz, Chris Wells, Martha S. Wingate, Walter Zahorodny, Marshalyn Yeargin‐Allsopp",2016,https://openalex.org/W2318996262,https://doi.org/10.15585/mmwr.ss6503a1,https://doi.org/10.15585/mmwr.ss6503a1,"The ADDM Network will continue to monitor the prevalence and characteristics of ASD among children aged 8 years living in selected sites across the United States. Recommendations from the ADDM Network include enhancing strategies to 1) lower the age of first evaluation of ASD by community providers in accordance with the Healthy People 2020 goal that children with ASD are evaluated by age 36 months and begin receiving community-based support and services by age 48 months; 2) reduce disparities by race/ethnicity in identified ASD prevalence, the age of first comprehensive evaluation, and presence of a previous ASD diagnosis or classification; and 3) assess the effect on ASD prevalence of the revised ASD diagnostic criteria published in the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition.","asd, disorders, prevalence, age, diagnosis","Behavioral Experiments, Therapy & Intervention, Education & Learning, Social & Emotional Development"
Describing the Sensory Abnormalities of Children and Adults with Autism,"Susan Leekam, Carmen Nieto, Sarah Libby, Lorna Wing, Judith Gould",2006,https://openalex.org/W2138201707,https://doi.org/10.1007/s10803-006-0218-7,https://doi.org/10.1007/s10803-006-0218-7,(no abstract found: try through the website),"Autism, Sensory system, Psychology, Sensory processing, Developmental disorder, Audiology, Taste, Developmental psychology, Neuroscience, Medicine",Social & Emotional Development
"Prevalence and Characteristics of Autism Spectrum Disorder Among Children Aged 8 Years — Autism and Developmental Disabilities Monitoring Network, 11 Sites, United States, 2018","Matthew J. Maenner, Kelly Shaw, Amanda V. Bakian, Deborah A. Bilder, Maureen S. Durkin, Amy Esler, Sarah M. Furnier, Libby Hallas, Jennifer Hall‐Lande, Allison Hudson, Michelle M. Hughes, Mary Patrick, Karen Pierce, Jenny N. Poynter, Angelica Salinas, Josephine Shenouda, Alison Vehorn, Zachary Warren, John N. Constantino, Monica DiRienzo, Robert T. Fitzgerald, Andrea Grzybowski, Margaret H. Spivey, Sydney Pettygrove, Walter Zahorodny, Akilah R. Ali, Jennifer Andrews, Thaer Baroud, Johanna Gutierrez, Amy Hewitt, Li‐Ching Lee, Maya Lopez, Kristen Clancy Mancilla, Dedria McArthur, Yvette D. Schwenk, Anita Washington, Susan P. Williams, Mary E. Cogswell",2021,https://openalex.org/W3216151710,https://doi.org/10.15585/mmwr.ss7011a1,https://doi.org/10.15585/mmwr.ss7011a1,"The variability in ASD prevalence and community ASD identification practices among children with different racial, ethnic, and geographical characteristics highlights the importance of research into the causes of that variability and strategies to provide equitable access to developmental evaluations and services. These findings also underscore the need for enhanced infrastructure for diagnostic, treatment, and support services to meet the needs of all children.","asd, prevalence, developmental, racial, ethnic",General / Other
Loneliness and Friendship in High‐Functioning Children with Autism,"Nirit Bauminger, Connie Kasari",2000,https://openalex.org/W2007157474,https://doi.org/10.1111/1467-8624.00156,https://doi.org/10.1111/1467-8624.00156,"Loneliness and friendship were examined in 22 high‐functioning children with autism and 19 typically developing children equated with the autistic children for IQ, CA, gender, mother's education, and ethnicity. Children between the ages of 8 and 14 were asked to report on both their understanding and feelings of loneliness and the quality of their friendship. Compared to typically developing children, children with autism were both lonelier and had less complete understandings of loneliness. Although all children with autism reported having at least one friend, the quality of their friendships was poorer in terms of companionship, security, and help. Fewer associations were found between loneliness and friendship for the autistic than for the non‐autistic children, suggesting less understanding of the relation between loneliness and friendship. Implications of these results are discussed for conceptualizing the social deficits in autism.","loneliness, autism, friendships, friendship, autistic","Behavioral Experiments, Education & Learning, Communication & Language"
Early recognition of children with autism: A study of first birthday home videotapes,"Julie Osterling, Géraldine Dawson",1994,https://openalex.org/W2012165208,https://doi.org/10.1007/bf02172225,https://doi.org/10.1007/bf02172225,(no abstract found: try through the website),"Autism, Psychology, Joint attention, Developmental psychology, Social relation, Developmental disorder, Social psychology",Neurological Functioning
Recognition of Faux Pas by Normally Developing Children and Children with Asperger Syndrome or High-Functioning Autism,"Simon Baron‐Cohen, Michelle O’Riordan, Valerie E. Stone, Rosie Jones, Kate Plaisted",1999,https://openalex.org/W1486096542,https://doi.org/10.1023/a:1023035012436,https://doi.org/10.1023/a:1023035012436,(no abstract found: try through the website),"Autism, Psychology, Theory of mind, Asperger syndrome, Developmental psychology, Test (biology), Task (project management), Mental age, Audiology, Cognition, Psychiatry, Medicine, Economics, Management, Biology, Paleontology",General / Other
Sensory Processing in Children With and Without Autism: A Comparative Study Using the Short Sensory Profile,"Scott Tomchek, Winnie Dunn",2007,https://openalex.org/W2107555020,https://doi.org/10.5014/ajot.61.2.190,https://doi.org/10.5014/ajot.61.2.190,"Abstract OBJECTIVE. The purpose of this study is to investigate differences in sensory processing among age-matched children between ages 3 and 6 years with autism spectrum disorders (ASD) and those who are typically developing. METHOD. Reported sensory processing abilities of 281 children with ASD were compared to age-matched peers who were typically developing, using the Short Sensory Profile (SSP). RESULTS. Ninety-five percent of the sample of children with ASD demonstrated some degree of sensory processing dysfunction on the SSP Total Score, with the greatest differences reported on the Underresponsive/ Seeks Sensation, Auditory Filtering, and Tactile Sensitivity sections. The ASD group also performed significantly differently (p &amp;lt; .001) on 92% of the items, total score, and all sections of the SSP. CONCLUSION. These findings, considered with similar published studies, begin to confirm the prevalence and types of sensory processing impairments in autism. Further research is needed to more clearly define patterns of sensory processing in people with ASD.","autism, sensory, impairments, tactile, sensitivity","Communication & Language, Social & Emotional Development"
"Evidence-Based Practices for Children, Youth, and Young Adults with Autism Spectrum Disorder: A Comprehensive Review","Connie Wong, Samuel L. Odom, Kara Hume, Ann W. Cox, Angel Fettig, Suzanne Kucharczyk, Matthew E. Brock, Joshua B. Plavnick, Veronica P. Fleury, Tia R. Schultz",2015,https://openalex.org/W2053459428,https://doi.org/10.1007/s10803-014-2351-z,https://doi.org/10.1007/s10803-014-2351-z,(no abstract found: try through the website),"Autism, Autism spectrum disorder, Psychology, Intervention (counseling), Evidence-based practice, Inclusion (mineral), Clinical psychology, Public health, Developmental psychology, Set (abstract data type), Developmental disorder, Psychiatry, Medicine, Alternative medicine, Social psychology, Nursing, Programming language, Pathology, Computer science",General / Other
Children with Autism Fail to Orient to Naturally Occurring Social Stimuli,"Géraldine Dawson, Andrew N. Meltzoff, Julie Osterling, Julie Rinaldi, Emily Brown",1998,https://openalex.org/W2158326438,https://doi.org/10.1023/a:1026043926488,https://doi.org/10.1023/a:1026043926488,(no abstract found: try through the website),"Autism, Psychology, Gaze, Developmental psychology, Social relation, Social psychology, Psychoanalysis","Neurological Functioning, Communication & Language, Social & Emotional Development"
"Prevalence of autism spectrum disorder among children aged 8 Years - Autism and developmental disabilities monitoring network, 11 Sites, United States, 2014","Matthew J. Maenner, Kelly Shaw, Jon Baio, A. Washington, Mary Patrick, Monica DiRienzo, David L. Christensen, Lisa D. Wiggins, Sydney Pettygrove, Jennifer Andrews, Michael López, A. Hudson, Thaer Baroud, Yvette D. Schwenk, Tiffany White, C.R. Rosenberg, L.-C. Lee, Robert A. Harrington, Molly N. Huston, Amy Hewitt, Amy Esler, Jennifer Hall‐Lande, Jenny N. Poynter, Libby Hallas-Muchow, John N. Constantino, R FitzGerald, Walter Zahorodny, Josephine Shenouda, Julie L. Daniels, Zachary Warren, A.C. Vehorn, A. Salinas, Maureen S. Durkin, Patricia M. Dietz",2018,https://openalex.org/W3026621361,https://doi.org/10.17615/y3kk-5x30,https://doi.org/10.17615/y3kk-5x30,"Problem/Condition: Autism spectrum disorder (ASD). Period Covered: 2014. Description of System: The Autism and Developmental Disabilities Monitoring (ADDM) Network is an active surveillance system that provides estimates of the prevalence of autism spectrum disorder (ASD) among children aged 8 years whose parents or guardians reside within 11 ADDM sites in the United States (Arizona, Arkansas, Colorado, Georgia, Maryland, Minnesota, Missouri, New Jersey, North Carolina, Tennessee, and Wisconsin). ADDM surveillance is conducted in two phases. The first phase involves review and abstraction of comprehensive evaluations that were completed by professional service providers in the community. Staff completing record review and abstraction receive extensive training and supervision and are evaluated according to strict reliability standards to certify effective initial training, identify ongoing training needs, and ensure adherence to the prescribed methodology. Record review and abstraction occurs in a variety of data sources ranging from general pediatric health clinics to specialized programs serving children with developmental disabilities. In addition, most of the ADDM sites also review records for children who have received special education services in public schools. In the second phase of the study, all abstracted information is reviewed systematically by experienced clinicians to determine ASD case status. A child is considered to meet the surveillance case definition for ASD if he or she displays behaviors, as described on one or more comprehensive evaluations completed by community-based professional providers, consistent with the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, Text Revision (DSM-IV-TR) diagnostic criteria for autistic disorder; pervasive developmental disorder-not otherwise specified (PDD-NOS, including atypical autism); or Asperger disorder. This report provides updated ASD prevalence estimates for children aged 8 years during the 2014 surveillance year, on the basis of DSM-IV-TR criteria, and describes characteristics of the population of children with ASD. In 2013, the American Psychiatric Association published the Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition (DSM-5), which made considerable changes to ASD diagnostic criteria. The change in ASD diagnostic criteria might influence ADDM ASD prevalence estimates; therefore, most (85%) of the records used to determine prevalence estimates based on DSM-IV-TR criteria underwent additional review under a newly operationalized surveillance case definition for ASD consistent with the DSM-5 diagnostic criteria. Children meeting this new surveillance case definition could qualify on the basis of one or both of the following criteria, as documented in abstracted comprehensive evaluations: 1) behaviors consistent with the DSM-5 diagnostic features; and/or 2) an ASD diagnosis, whether based on DSM-IV-TR or DSM-5 diagnostic criteria. Stratified comparisons of the number of children meeting either of these two case definitions also are reported. Results: For 2014, the overall prevalence of ASD among the 11 ADDM sites was 16.8 per 1,000 (one in 59) children aged 8 years. Overall ASD prevalence estimates varied among sites, from 13.1-29.3 per 1,000 children aged 8 years. ASD prevalence estimates also varied by sex and race/ethnicity. Males were four times more likely than females to be identified with ASD. Prevalence estimates were higher for non-Hispanic white (henceforth, white) children compared with non-Hispanic black (henceforth, black) children, and both groups were more likely to be identified with ASD compared with Hispanic children. Among the nine sites with sufficient data on intellectual ability, 31% of children with ASD were classified in the range of intellectual disability (intelligence quotient [IQ] ≤ 70), 25% were in the borderline range (IQ 71-85), and 44% had IQ scores in the average to above average range (i.e., IQ &gt; 85). The distribution of intellectual ability varied by sex and race/ethnicity. Although mention of developmental concerns by age 36 months was documented for 85% of children with ASD, only 42% had a comprehensive evaluation on record by age 36 months. The median age of earliest known ASD diagnosis was 52 months and did not differ significantly by sex or race/ethnicity. For the targeted comparison of DSM-IV-TR and DSM-5 results, the number and characteristics of children meeting the newly operationalized DSM-5 case definition for ASD were similar to those meeting the DSM-IV-TR case definition, with DSM-IV-TR case counts exceeding DSM-5 counts by less than 5% and approximately 86% overlap between the two case definitions (kappa = 0.85). Interpretation: Findings from the ADDM Network, on the basis of 2014 data reported from 11 sites, provide updated populationbased estimates of the prevalence of ASD among children aged 8 years in multiple communities in the United States. The overall ASD prevalence estimate of 16.8 per 1,000 children aged 8 years in 2014 is higher than previously reported estimates from the ADDM Network. Because the ADDM sites do not provide a representative sample of the entire United States, the combined prevalence estimates presented in this report cannot be generalized to all children aged 8 years in the United States. Consistent with reports from previous ADDM surveillance years, findings from 2014 were marked by variation in ASD prevalence when stratified by geographic area, sex, and level of intellectual ability. Differences in prevalence estimates between black and white children have diminished in most sites, but remained notable for Hispanic children. For 2014, results from application of the DSM-IV-TR and DSM-5 case definitions were similar, overall and when stratified by sex, race/ethnicity, DSM-IV-TR diagnostic subtype, or level of intellectual ability. Public Health Action: Beginning with surveillance year 2016, the DSM-5 case definition will serve as the basis for ADDM estimates of ASD prevalence in future surveillance reports. Although the DSM-IV-TR case definition will eventually be phased out, it will be applied in a limited geographic area to offer additional data for comparison. Future analyses will examine trends in the continued use of DSM-IV-TR diagnoses, such as autistic disorder, PDD-NOS, and Asperger disorder in health and education records, documentation of symptoms consistent with DSM-5 terminology, and how these trends might influence estimates of ASD prevalence over time. The latest findings from the ADDM Network provide evidence that the prevalence of ASD is higher than previously reported estimates and continues to vary among certain racial/ethnic groups and communities. With prevalence of ASD ranging from 13.1 to 29.3 per 1,000 children aged 8 years in different communities throughout the United States, the need for behavioral, educational, residential, and occupational services remains high, as does the need for increased research on both genetic and nongenetic risk factors for ASD.","autism, disabilities, disability, asperger, autistic","Neurological Functioning, Education & Learning, Communication & Language, Social & Emotional Development"
